Provinsi,Nilai,Tahun,Kategori
Sulawesi Selatan,24738.8,2015-2016,Kawasan Hutan
Sulawesi Tenggara,12399.0,2015-2016,Kawasan Hutan
Gorontalo,2074.8,2015-2016,Kawasan Hutan
Sulawesi Barat,7289.5,2015-2016,Kawasan Hutan
Maluku,6803.9,2015-2016,Kawasan Hutan
Maluku Utara,22730.5,2015-2016,Kawasan Hutan
Papua Barat,6101.6,2015-2016,Kawasan Hutan
Papua,2117.2,2015-2016,Kawasan Hutan
Aceh,10548.6,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Utara,1807.0,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Barat,381.4,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Riau,5825.4,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jambi,558.4,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sumatera Selatan,1204.8,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bengkulu,305.2,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Lampung,170.5,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Bangka Belitung,1347.5,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kepulauan Riau,1953.7,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DKI Jakarta,0.0,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Barat,0.0,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Tengah,0.0,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
DI Yogyakarta,0.0,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Jawa Timur,0.0,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Banten,0.0,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Bali,3359.5,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Barat,9800.5,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Nusa Tenggara Timur,0.0,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Barat,64809.7,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Tengah,9313.0,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Selatan,6944.6,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,51577.0,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Utara,514.0,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tengah,10043.2,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Selatan,5198.5,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Tenggara,2966.1,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Gorontalo,167.7,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Sulawesi Barat,2235.2,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku,96.5,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Maluku Utara,3061.7,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua Barat,4119.5,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Papua,4612.4,2015-2016,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
Aceh,23071.6,2015-2016,Total Deforestasi
Sumatera Utara,9714.3,2015-2016,Total Deforestasi
Sumatera Barat,7817.8,2015-2016,Total Deforestasi
Riau,24190.9,2015-2016,Total Deforestasi
Jambi,24821.4,2015-2016,Total Deforestasi
Sumatera Selatan,4294.2,2015-2016,Total Deforestasi
Bengkulu,1798.8,2015-2016,Total Deforestasi
Lampung,1213.6,2015-2016,Total Deforestasi
Kepulauan Bangka Belitung,1692.3,2015-2016,Total Deforestasi
Kepulauan Riau,697.7,2015-2016,Total Deforestasi
DKI Jakarta,0.0,2015-2016,Total Deforestasi
Jawa Barat,0.0,2015-2016,Total Deforestasi
Jawa Tengah,0.0,2015-2016,Total Deforestasi
DI Yogyakarta,0.0,2015-2016,Total Deforestasi
Jawa Timur,0.0,2015-2016,Total Deforestasi
Banten,0.0,2015-2016,Total Deforestasi
Bali,7455.5,2015-2016,Total Deforestasi
Nusa Tenggara Barat,22362.4,2015-2016,Total Deforestasi
Nusa Tenggara Timur,0.0,2015-2016,Total Deforestasi
Kalimantan Barat,124956.0,2015-2016,Total Deforestasi
Kalimantan Tengah,98129.2,2015-2016,Total Deforestasi
Kalimantan Selatan,33125.1,2015-2016,Total Deforestasi
Kalimantan Timur dan Kalimantan Utara ,108682.0,2015-2016,Total Deforestasi
Sulawesi Utara,2352.6,2015-2016,Total Deforestasi
Sulawesi Tengah,26088.6,2015-2016,Total Deforestasi
Sulawesi Selatan,29937.2,2015-2016,Total Deforestasi
Sulawesi Tenggara,15365.2,2015-2016,Total Deforestasi
Gorontalo,2242.5,2015-2016,Total Deforestasi
Sulawesi Barat,9524.7,2015-2016,Total Deforestasi
Maluku,6900.5,2015-2016,Total Deforestasi
Maluku Utara,25792.2,2015-2016,Total Deforestasi
Papua Barat,10221.1,2015-2016,Total Deforestasi
Papua,6729.6,2015-2016,Total Deforestasi
Aceh,11028.1,2016-2017,Kawasan Hutan
Sumatera Utara,16853.8,2016-2017,Kawasan Hutan
Sumatera Barat,6567.1,2016-2017,Kawasan Hutan
Riau,8120.6,2016-2017,Kawasan Hutan
Jambi,29987.1,2016-2017,Kawasan Hutan
Sumatera Selatan,17437.9,2016-2017,Kawasan Hutan
Bengkulu,3887.9,2016-2017,Kawasan Hutan
Lampung,2989.5,2016-2017,Kawasan Hutan
Kepulauan Bangka Belitung,1854.0,2016-2017,Kawasan Hutan
Kepulauan Riau,3173.7,2016-2017,Kawasan Hutan
DKI Jakarta,0.0,2016-2017,Kawasan Hutan
Jawa Barat,160.6,2016-2017,Kawasan Hutan
Jawa Tengah,0.0,2016-2017,Kawasan Hutan
DI Yogyakarta,163.8,2016-2017,Kawasan Hutan
Jawa Timur,0.0,2016-2017,Kawasan Hutan
Banten,2534.4,2016-2017,Kawasan Hutan
Bali,7.4,2016-2017,Kawasan Hutan
Nusa Tenggara Barat,8915.4,2016-2017,Kawasan Hutan
Nusa Tenggara Timur,0.0,2016-2017,Kawasan Hutan
Kalimantan Barat,13274.8,2016-2017,Kawasan Hutan
Kalimantan Tengah,97817.0,2016-2017,Kawasan Hutan
Kalimantan Selatan,661.3,2016-2017,Kawasan Hutan
Kalimantan Timur dan Kalimantan Utara ,20913.1,2016-2017,Kawasan Hutan
Sulawesi Utara,440.9,2016-2017,Kawasan Hutan
Sulawesi Tengah,15679.3,2016-2017,Kawasan Hutan
Sulawesi Selatan,7070.3,2016-2017,Kawasan Hutan
Sulawesi Tenggara,13302.5,2016-2017,Kawasan Hutan
Gorontalo,1169.5,2016-2017,Kawasan Hutan
Sulawesi Barat,836.2,2016-2017,Kawasan Hutan
Maluku,1128.9,2016-2017,Kawasan Hutan
Maluku Utara,17732.6,2016-2017,Kawasan Hutan
Papua Barat,21081.2,2016-2017,Kawasan Hutan
Papua,554.5,2016-2017,Kawasan Hutan
Aceh,4487.6,2016-2017,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan
